cod_matiere,des_matiere
FRA100,Français
FRA200,Français
FRA300,Français
FRA400,Français
FRA500,Français
FRA600,Français
MAT100,Mathématique
MAT200,Mathématique
MAT300,Mathématique
MAT400,Mathématique
MAT500,Mathématique
MAT600,Mathématique
ANG100,Anglais
ANG200,Anglais
ANG300,Anglais
ANG400,Anglais
ANG500,Anglais
ANG600,Anglais
132108,Français
132208,Français
132308,Français
132406,Français
132506,Français
134104,Anglais PB
134204,Anglais PB
134304,Anglais PB
134404,Anglais PB
134504,Anglais PB
136104,Anglais PE
136204,Anglais PE
136304,Anglais PE
136406,Anglais PE
136506,Anglais PE
063126,Mathématique
063226,Mathématique
063306,Mathématique
063414,Mathématique CST
064426,Mathématique TS
065426,Mathématique SN
063504,Mathématique CST
064506,Mathématique TS
065506,Mathématique SN
