corp_empl,description_corps_empl,categorie
0105,Commissaire,Services administratifs et indirecte
0106,Représ. Parents,Services administratifs et indirecte
0107,Étudiant activité sport.,Soutien direct
0109,Membre du CA,Services administratifs et indirecte
0110,Tuteur,Soutien direct
0505,Louage de services n/a,Services administratifs et indirecte
1000,Directeur général,Services administratifs et indirecte
1001,Directeur général adjoint,Services administratifs et indirecte
1030,ÉP-Directeur général,Services administratifs et indirecte
1031,ÉP-Directeur gén.adjoint,Services administratifs et indirecte
1101,Directeur général,Services administratifs et indirecte
1102,Directeur général adjoint,Services administratifs et indirecte
1103,N/A Cons. cadre  dir gén,Services administratifs et indirecte
1111,Dir. services éducatifs,Services administratifs et indirecte
1112,Dir. des services des RH,Services administratifs et indirecte
1113,Dir. des services autres,Services administratifs et indirecte
1114,Dir. des services,Services administratifs et indirecte
1130,Dir. centre éduc. adultes,Services administratifs et indirecte
1135,Dir. serv. éduc. adultes,Services administratifs et indirecte
1140,Dir. centre form. prof.,Services administratifs et indirecte
1141,ÉP-Dir.services éducatifs,Services administratifs et indirecte
1142,ÉP-Dir. services des RH,Services administratifs et indirecte
1143,ÉP-Dir. services autres,Services administratifs et indirecte
1144,ÉP-Dir. des services,Services administratifs et indirecte
1145,Dir. serv. form. prof.,Services administratifs et indirecte
1150,Dir. d'école primaire,Professionnels direct
1155,Dir. d'école secondaire,Professionnels direct
1160,ÉP-Dir.centre édu.adultes,Professionnels direct
1165,ÉP-Dir.serv.éduc. adultes,Professionnels direct
1170,ÉP-Dir. centre form. prof,Professionnels direct
1175,ÉP-Dir. serv. form. prof.,Professionnels direct
1180,ÉP-Dir. d'école primaire,Professionnels direct
1185,ÉP-Dir.d'école secondaire,Professionnels direct
1190,ÉP-Dir. école spécialisée,Professionnels direct
1201,Dir. serv. enseignement,Professionnels direct
1202,Dir. serv. enseig. prim.,Professionnels direct
1203,Dir. serv. enseig. sec.,Professionnels direct
1204,Dir. serv. aux étudiants,Professionnels direct
1205,Dir. serv. financier,Services administratifs et indirecte
1206,Dir. serv. équipement,Services administratifs et indirecte
1207,Dir. serv. personnel,Services administratifs et indirecte
1208,Secrétaire général,Services administratifs et indirecte
1209,Dir. adjoint des services,Services administratifs et indirecte
1210,Dir. de  zones,Services administratifs et indirecte
1211,Dir. adjoint serv. éduc.,Services administratifs et indirecte
1212,Dir. adjoint services RH,Services administratifs et indirecte
1213,Dir. adjoint serv. autres,Services administratifs et indirecte
1214,Secrétaire général,Services administratifs et indirecte
1230,Dir.adj.centre éduc.adul.,Services administratifs et indirecte
1231,Dir. adj. serv.équipement,Services administratifs et indirecte
1232,Dir. adj. serv. ens.,Services administratifs et indirecte
1233,Dir.adj. serv. financiers,Services administratifs et indirecte
1236,Dir. adj. serv. tech. inf,Services administratifs et indirecte
1239,ÉP-Dir. adj. des services,Services administratifs et indirecte
1240,Dir.adj.centre form.prof.,Professionnels direct
1241,ÉP-Dir.adjoint serv.éduc.,Professionnels direct
1242,ÉP-Dir. adj. services RH,Services administratifs et indirecte
1243,ÉP-Dir. adj. serv. autres,Services administratifs et indirecte
1244,ÉP-Secrétaire général,Services administratifs et indirecte
1250,Dir.adj.d'école primaire,Professionnels direct
1255,Dir.ad.d'école secondaire,Professionnels direct
1260,ÉP-Dir.adj.cen.éduc.adul.,Professionnels direct
1270,ÉP-Dir.adj.cen.form.prof.,Professionnels direct
1280,ÉP-Dir.adj.école primaire,Professionnels direct
1285,ÉP-Dir. ad. école second.,Professionnels direct
1301,Coord. ens. général,Services administratifs et indirecte
1302,Coord. ens. professionel,Services administratifs et indirecte
1303,Coord. ens. primaire,Services administratifs et indirecte
1304,Coord. adapt. scolaire,Services administratifs et indirecte
1305,Coord. mesure et évaluat.,Services administratifs et indirecte
1306,Coord. moyens enseig. A,Services administratifs et indirecte
1307,Coord. moyens enseig. B,Services administratifs et indirecte
1308,Coord. serv. personnel,Services administratifs et indirecte
1309,Coord. serv. financiers,Services administratifs et indirecte
1310,Coord. serv. équipement,Services administratifs et indirecte
1311,Coordon. des serv. éduc.,Services administratifs et indirecte
1312,Coordon. des services RH,Services administratifs et indirecte
1313,Coordon. des serv. autres,Services administratifs et indirecte
1314,Coord.serv. aux étudiants,Services administratifs et indirecte
1315,Coord. serv. transport,Services administratifs et indirecte
1316,Cons. gest. de personnel,Services administratifs et indirecte
1326,Coordon. des services,Services administratifs et indirecte
1335,Coord.des serv.éduc.adul.,Services administratifs et indirecte
1341,ÉP-Coord. des serv. éduc.,Services administratifs et indirecte
1342,ÉP-Coord. des services RH,Services administratifs et indirecte
1343,ÉP-Coord. des serv.autres,Services administratifs et indirecte
1345,Coord.des serv.form.prof.,Services administratifs et indirecte
1356,ÉP-Coordon. des services,Services administratifs et indirecte
1360,ÉP-Coord.serv.éduc.adul.,Services administratifs et indirecte
1365,ÉP-Dir.adj.serv.éduc.adul,Services administratifs et indirecte
1370,ÉP-Coord. serv.form.prof.,Services administratifs et indirecte
1375,ÉP-Dir.adj.serv.form.prof,Services administratifs et indirecte
1400,Cons. direction générale,Services administratifs et indirecte
1401,Dir. serv. éduc. adultes,Services administratifs et indirecte
1402,Dir. centre éduc. adul.,Professionnels direct
