code_matiere,no_competence,friendly_name
FRA200,1,Français - primaire 2 - lecture
FRA400,1,Français - primaire 4 - lecture
FRA400,2,Français - primaire 4 - écriture
FRA600,1,Français - primaire 6 - lecture
FRA600,2,Français - primaire 6 - écriture
MAT200,2,Maths - primaire 2 - raisonner
MAT200,1,Maths - primaire 2 - résoudre
MAT400,2,Maths - primaire 4 - raisonner
MAT400,1,Maths - primaire 4 - résoudre
MAT600,2,Maths - primaire 6 - raisonner
MAT600,1,Maths - primaire 6 - résoudre
132208,2,Français - secondaire 2 - écriture
132520,,Français - secondaire 5 - écriture
134510,,Anglais PB - secondaire 5 - inter. orale
134530,,Anglais PB - secondaire 5 - prod. écrite
136540,,Anglais PE - secondaire 5 - comp. orale et écrite
136550,,Anglais PE - secondaire 5 - prod. écrite
063420,,Maths CST - secondaire 4 - raisonner
065420,,Maths SN - secondaire 4 - raisonner
064420,,Maths TS -  secondaire 4 - raisonner
063226,2,Maths - secondaire 2 - résoudre
055410,,Science et tech. - secondaire 4 - théorie
057410,,App. technologiques et scientifiques - secondaire 4 - théorie
085404,,Histoire du Québec et Canada - secondaire 4
