code_matiere,description_matiere
132520,Français 5 - écriture
132506,Français 5 
134504,Anglais PB 5 
134510,Anglais PB 5 - inter. orale
134530,Anglais PB 5 - prod. écrite
136506,Anglais PE  5
136540,Anglais PE 5 - comp. orale et écrite
136550,Anglais PE 5 - prod. écrite
065426,Mathématique SN 4
065420,Mathématique SN 4 - raisonner
085404,Histoire 4
055410,Science ST 4 - théorie
055444,Science ST 4
057416,Science ATS 4
057410,Science ATS 4 - théorie
063414,Mathématique CST 4
063420,Mathématique CST 4 - raisonner
064420,Mathématique TS 4 - raisonner
064426,Mathématique TS 4 
